순위,관광지명,주소,분류,합산 검색 수
61,윤동주문학관,서울 종로구 창의문로 119-0,전시시설,5523
62,이비스앰배서더인사동,서울 종로구 삼일대로30길 31-0,호텔,5508
63,경찰박물관,서울 종로구 송월길 162-0,전시시설,5331
64,환기미술관,서울 종로구 자하문로40길 63-0,전시시설,5259
65,예스24스테이지,서울 종로구 대학로12길 21-0,공연시설,5191
66,동대문종합시장D동,서울 종로구 종로 266-0,시장,5185
67,인왕산,서울 종로구,자연경관(산),5067
68,씨네큐브광화문점,서울 종로구 새문안로 68-0,공연시설,5030
69,충신시장,서울 종로구 율곡로22길 7-0,시장,4950
70,무궁화동산,서울 종로구,도시공원,4894
71,티오엠,서울 종로구 대학로8가길 85-0,공연시설,4669
72,호텔더디자이너스종로점,서울 종로구 수표로 89-8,호텔,4653
73,와룡공원,서울 종로구,도시공원,4627
74,몽호텔,서울 종로구 종로16길 28-0,모텔,4553
75,서울옥션하우스,서울 종로구 평창30길 24-0,전시시설,4515
76,경인미술관,서울 종로구 인사동10길 11-4,전시시설,4313
77,수성동계곡,서울 종로구,자연경관(산),4212
78,돈의문박물관마을,서울 종로구,기타관광,4175
79,갤러리라메르,서울 종로구 인사동5길 26-0,전시시설,4172
80,동덕여자대학교공연예술센터,서울 종로구 동숭길 126-0,공연시설,4153
81,동묘,서울 종로구 난계로27길 84-0,역사유적지,4040
82,청계광장,서울 종로구 청계천로 1-0,도시공원,3962
83,바티카호텔,서울 종로구 청계천로 341-0,모텔,3949
84,한성아트홀,서울 종로구 창경궁로 254-0,공연시설,3942
85,호텔더메이,서울 종로구 수표로26길 10-0,모텔,3838
86,동대문쇼핑타운,서울 종로구 종로 266-0,쇼핑몰,3754
87,보신각,서울 종로구 종로 54-0,역사유적지,3736
88,아마레호텔,서울 종로구 수표로22길 7-0,호텔,3730
89,청운대안내소,서울 종로구,기타관광,3534
90,센트럴관광호텔,서울 종로구 청계천로 137-0,호텔,3475
91,이화장,서울 종로구 이화장1길 32-0,역사유적지,3459
92,글로리아타운,서울 종로구 평창문화로 75-0,쇼핑몰,3436
93,아벤트리종로호텔,서울 종로구 우정국로 46-0,호텔,3428
94,동대문종합시장B동,서울 종로구 종로 266-0,시장,3379
95,호텔베뉴지,서울 종로구 청계천로 117-0,호텔,3361
96,다나호텔,서울 종로구 수표로18길 10-0,모텔,3337
97,세검정,서울 종로구 세검정로 244-0,역사유적지,3331
98,종로꽃시장,서울 종로구,시장,3025
99,박노수미술관,서울 종로구 옥인1길 34-0,전시시설,3003
100,유니플렉스,서울 종로구 대학로12길 64-0,공연시설,2999
