,순위,관광지명,주소,분류,합산 검색 수
28,29,안녕인사동,서울 종로구 인사동길 49-0,쇼핑몰,13906
75,76,경인미술관,서울 종로구 인사동10길 11-4,전시시설,4313
78,79,갤러리라메르,서울 종로구 인사동5길 26-0,전시시설,4172
